"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7040","Verify cart total updates when quantity changes","authenticated-tests","2026-06-08","passed","2026-06-08","Electronics Navigation Test Cases","electronics.spec.js","",""
"","2808","Verify minimum search criteria validation","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","3056","Verify user can search product","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","3279","Verify navigation to electronics page","authenticated-tests","2026-06-08","passed","2026-06-08","Electronics Navigation Test Cases","electronics.spec.js","",""
"","9794","Verify complete checkout process","authenticated-tests","2026-06-08","passed","2026-06-08","Electronics Navigation Test Cases","electronics.spec.js","",""
"","3502","authenticate","setup","2026-06-08","passed","2026-06-08","","auth.setup.js","",""
"","3270","Verify the functionality of sign in button with blank fields","login-tests","2026-06-08","passed","2026-06-08","Login Test Cases","login.spec.js","",""
"","3566","Verify user can open product from search results","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","2289","Verify home page loads successfully","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","2352","Verify featured products are displayed on home page","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","2140","Verify logged in user details are displayed","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","2709","Verify search with invalid product","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
"","2303","Verify search with empty value","authenticated-tests","2026-06-08","passed","2026-06-08","Home Page Test Cases","home.spec.js","",""
